time,x,y
0.06,0.4215430862,0.5360555556
0.32,0.4215430862,0.5354166667
0.35,0.4215430862,0.5341527778
0.52,0.4215430862,0.5341527778
1.12,0.4195490982,0.5335277778
1.15,0.4188877756,0.5335277778
1.18,0.4175551102,0.5328888889
1.22,0.4162224449,0.5322638889
1.42,0.4142284569,0.5309861111
1.45,0.4122344689,0.5303611111
1.48,0.4115731463,0.5297222222
1.52,0.4115731463,0.5297222222
1.78,0.4109018036,0.5297222222
1.82,0.410240481,0.5297222222
1.88,0.4095791583,0.5297222222
1.92,0.4089078156,0.5290972222
2.05,0.4089078156,0.5284583333
2.35,0.4089078156,0.5290972222
2.45,0.4095791583,0.5297222222
2.48,0.410240481,0.5297222222
2.52,0.410240481,0.5297222222
2.62,0.4089078156,0.5290972222
2.65,0.4089078156,0.5284583333
2.95,0.4095791583,0.5284583333
2.98,0.410240481,0.5290972222
3.02,0.4109018036,0.5290972222
3.05,0.4115731463,0.5297222222
3.08,0.4122344689,0.5297222222
3.12,0.4128957916,0.5303611111
3.15,0.4135671343,0.5309861111
3.18,0.4142284569,0.531625
3.25,0.4155611222,0.5322638889
3.28,0.4162224449,0.5335277778
3.32,0.4168837675,0.5335277778
3.35,0.4175551102,0.5341527778
3.38,0.4175551102,0.5354166667
3.45,0.4182164329,0.5360555556
3.52,0.4182164329,0.5360555556
3.88,0.4175551102,0.5360555556
4.52,0.4175551102,0.5360555556
4.62,0.4168837675,0.5354166667
5.38,0.4155611222,0.5354166667
5.42,0.4155611222,0.5347916667
5.52,0.4155611222,0.5347916667
6.42,0.4148897796,0.5347916667
6.52,0.4148897796,0.5347916667
7.52,0.4148897796,0.5347916667
8.52,0.4148897796,0.5347916667
9.35,0.4142284569,0.5354166667
9.52,0.4142284569,0.5354166667
9.68,0.4148897796,0.5354166667
10.52,0.4148897796,0.5354166667
11.52,0.4148897796,0.5354166667
11.65,0.4142284569,0.5354166667
11.82,0.4142284569,0.5360555556
12.12,0.4142284569,0.5354166667
12.42,0.4148897796,0.5354166667
12.45,0.4155611222,0.5347916667
12.52,0.4155611222,0.5347916667
12.62,0.4162224449,0.5347916667
13.52,0.4162224449,0.5347916667
13.55,0.4168837675,0.5347916667
13.62,0.4175551102,0.5341527778
13.65,0.4182164329,0.5335277778
14.32,0.4195490982,0.5322638889
14.52,0.4195490982,0.5322638889
14.78,0.4202104208,0.5309861111
15.52,0.4202104208,0.5309861111
16.52,0.4202104208,0.5309861111
17.52,0.4202104208,0.5309861111
18.51,0.4202104208,0.5309861111
19.51,0.4202104208,0.5309861111
19.78,0.4195490982,0.5309861111
19.81,0.4182164329,0.531625
19.85,0.4182164329,0.5322638889
19.88,0.4182164329,0.5328888889
19.91,0.4182164329,0.5335277778
20.05,0.4188877756,0.5341527778
20.08,0.4195490982,0.5347916667
20.11,0.4202104208,0.5354166667
20.15,0.4208817635,0.5373194444
20.18,0.4215430862,0.5392222222
20.21,0.4215430862,0.5398472222
20.25,0.4222044088,0.54175
20.28,0.4228757515,0.542375
20.31,0.4235370741,0.5436388889
20.35,0.4235370741,0.5442777778
20.38,0.4241983968,0.5455416667
20.41,0.4248697395,0.5468055556
20.48,0.4248697395,0.5474444444
20.52,0.4248697395,0.5474444444
20.65,0.4241983968,0.5474444444
20.68,0.4235370741,0.5474444444
20.95,0.4235370741,0.5468055556
21.51,0.4235370741,0.5468055556
21.58,0.4228757515,0.5455416667
21.61,0.4228757515,0.5442777778
21.65,0.4228757515,0.5430138889
21.68,0.4222044088,0.542375
21.71,0.4222044088,0.5398472222
21.75,0.4215430862,0.5385833333
21.78,0.4215430862,0.5366805556
21.81,0.4208817635,0.5354166667
21.88,0.4208817635,0.5341527778
22.05,0.4208817635,0.5335277778
22.28,0.4215430862,0.5335277778
22.35,0.4215430862,0.5328888889
22.38,0.4222044088,0.5328888889
22.51,0.4222044088,0.5328888889
23.25,0.4228757515,0.5322638889
23.28,0.4228757515,0.531625
23.51,0.4235370741,0.5303611111
23.55,0.4235370741,0.5297222222
23.58,0.4241983968,0.5284583333
23.61,0.4241983968,0.5278333333
24.38,0.4241983968,0.5284583333
24.51,0.4241983968,0.5284583333
24.58,0.4241983968,0.5290972222
24.61,0.4241983968,0.5297222222
24.68,0.4241983968,0.5303611111
25.28,0.4241983968,0.5297222222
25.31,0.4241983968,0.5290972222
25.41,0.4235370741,0.5284583333
25.45,0.4222044088,0.5278333333
25.48,0.4222044088,0.5265694444
25.51,0.4222044088,0.5253055556
25.55,0.4228757515,0.5253055556
25.81,0.4228757515,0.5240416667
26.05,0.4228757515,0.5253055556
26.35,0.4228757515,0.5240416667
26.38,0.4228757515,0.5234027778
26.41,0.4228757515,0.5227638889
26.51,0.4228757515,0.5227638889
26.58,0.4222044088,0.5234027778
26.62,0.4222044088,0.5240416667
27.18,0.4222044088,0.5246666667
27.51,0.4222044088,0.5246666667
28.51,0.4222044088,0.5246666667
29.51,0.4222044088,0.5246666667
30.51,0.4222044088,0.5246666667
30.95,0.4215430862,0.5253055556
31.01,0.4208817635,0.5253055556
31.18,0.4202104208,0.5265694444
31.22,0.4195490982,0.5265694444
31.25,0.4195490982,0.5271944444
31.51,0.4195490982,0.5271944444
31.85,0.4202104208,0.5290972222
31.88,0.4208817635,0.5303611111
31.92,0.4208817635,0.5309861111
32.01,0.4215430862,0.531625
32.05,0.4222044088,0.5322638889
32.08,0.4228757515,0.5328888889
32.12,0.4235370741,0.5335277778
32.15,0.4241983968,0.5341527778
32.18,0.4248697395,0.5347916667
32.21,0.4255310621,0.5354166667
32.25,0.4268637275,0.5360555556
32.28,0.4281963928,0.5366805556
32.31,0.4288577154,0.5373194444
32.51,0.4288577154,0.5373194444
32.68,0.4281963928,0.5373194444
32.72,0.4275250501,0.5366805556
32.75,0.4275250501,0.5360555556
32.78,0.4261923848,0.5360555556
32.85,0.4255310621,0.5354166667
32.88,0.4248697395,0.5347916667
32.91,0.4241983968,0.5341527778
32.95,0.4235370741,0.5335277778
32.98,0.4235370741,0.5328888889
33.02,0.4228757515,0.5322638889
33.05,0.4228757515,0.531625
33.18,0.4222044088,0.5309861111
33.32,0.4222044088,0.5303611111
33.35,0.4215430862,0.5284583333
33.38,0.4208817635,0.5265694444
33.42,0.4208817635,0.5253055556
33.45,0.4208817635,0.5234027778
33.48,0.4208817635,0.5215
33.52,0.4208817635,0.5202361111
33.55,0.4208817635,0.5196111111
33.75,0.4208817635,0.5183472222
33.78,0.4208817635,0.5170833333
33.81,0.4202104208,0.5158194444
33.85,0.4202104208,0.5151805556
33.88,0.4202104208,0.5139166667
33.91,0.4202104208,0.5126527778
33.95,0.4202104208,0.5113888889
33.98,0.4202104208,0.510125
34.01,0.4202104208,0.5088611111
34.25,0.4208817635,0.5113888889
34.28,0.4222044088,0.5139166667
34.31,0.4235370741,0.5151805556
34.35,0.4235370741,0.5170833333
34.38,0.4248697395,0.5189722222
34.42,0.4261923848,0.5215
34.45,0.4275250501,0.5240416667
34.48,0.4288577154,0.5265694444
34.52,0.4308517034,0.5284583333
34.55,0.433507014,0.5303611111
34.58,0.43750501,0.5322638889
34.62,0.439498998,0.5341527778
34.65,0.4421543086,0.5347916667
34.68,0.4428156313,0.5354166667
35.51,0.4428156313,0.5354166667
36.51,0.4428156313,0.5347916667
37.18,0.4421543086,0.5347916667
37.25,0.441492986,0.5347916667
37.28,0.4408216433,0.5341527778
37.31,0.4388276553,0.5328888889
37.38,0.4381663327,0.5328888889
37.41,0.4368336673,0.5322638889
37.45,0.4361723447,0.5322638889
37.51,0.4361723447,0.5322638889
37.58,0.435501002,0.5322638889
37.61,0.4348396794,0.531625
37.65,0.4341783567,0.531625
37.68,0.433507014,0.5309861111
37.71,0.4321843687,0.5303611111
37.75,0.4308517034,0.5284583333
37.78,0.4288577154,0.5246666667
37.81,0.4275250501,0.5221388889
37.85,0.4268637275,0.5202361111
37.88,0.4261923848,0.5177083333
37.92,0.4255310621,0.5164444444
37.95,0.4255310621,0.5158194444
37.98,0.4248697395,0.5158194444
