time,x,y
0.02,0.5970741483,0.4215694444
0.51,0.5970741483,0.4215694444
1.51,0.5970741483,0.4215694444
2.51,0.5970741483,0.4215694444
2.54,0.5977354709,0.4221944444
2.61,0.5984068136,0.4228333333
2.67,0.5984068136,0.4234722222
2.71,0.5990681363,0.4234722222
2.74,0.5990681363,0.4240972222
2.81,0.5990681363,0.4247361111
2.84,0.5997294589,0.4253611111
2.87,0.5997294589,0.426625
2.91,0.5997294589,0.4278888889
2.94,0.5997294589,0.4291527778
3.07,0.5990681363,0.4291527778
3.11,0.5990681363,0.4297916667
3.41,0.5990681363,0.4304305556
3.51,0.5990681363,0.4304305556
3.54,0.5990681363,0.4310555556
3.57,0.5984068136,0.4316944444
3.64,0.5977354709,0.4316944444
4.51,0.5977354709,0.4316944444
4.64,0.5977354709,0.4329583333
5.51,0.5977354709,0.4329583333
6.51,0.5977354709,0.4329583333
7.51,0.5977354709,0.4329583333
8.51,0.5977354709,0.4329583333
8.54,0.5964128257,0.4329583333
8.57,0.5950801603,0.4329583333
8.61,0.593747495,0.4335833333
8.64,0.5930861723,0.4335833333
8.71,0.5924248497,0.4335833333
8.81,0.591753507,0.4335833333
9.07,0.5910921844,0.4335833333
9.11,0.5904208417,0.4335833333
9.51,0.5904208417,0.4335833333
10.51,0.5904208417,0.4335833333
11.17,0.589759519,0.4335833333
11.51,0.5890981964,0.4335833333
11.84,0.5884268537,0.4335833333
12.51,0.5884268537,0.4335833333
13.14,0.5871042084,0.4335833333
13.24,0.5864328657,0.4335833333
13.34,0.5857715431,0.4335833333
13.41,0.5851102204,0.4342222222
13.44,0.5844388778,0.4342222222
13.47,0.5837775551,0.4348472222
13.51,0.5837775551,0.4348472222
13.54,0.5831162325,0.4354861111
13.57,0.5824448898,0.4361111111
13.67,0.5824448898,0.43675
13.71,0.5817835671,0.437375
13.77,0.5811122244,0.437375
13.81,0.5811122244,0.4380138889
14.51,0.5811122244,0.4380138889
14.91,0.5811122244,0.4386527778
15.51,0.5811122244,0.4386527778
16.5,0.5811122244,0.4386527778
17.47,0.5797895792,0.4392777778
17.5,0.5797895792,0.4399166667
18.1,0.5791182365,0.4405416667
18.17,0.5791182365,0.4411805556
18.2,0.5784569138,0.4411805556
18.3,0.5777955912,0.4418055556
18.34,0.5764629259,0.4424444444
18.37,0.5751302605,0.4430694444
18.4,0.5738076152,0.4437083333
18.47,0.5731362725,0.4443333333
18.5,0.5731362725,0.4443333333
18.6,0.5724749499,0.4430694444
18.64,0.5718036072,0.4405416667
18.67,0.5718036072,0.4380138889
18.7,0.5718036072,0.4354861111
18.74,0.5711422846,0.4329583333
18.77,0.5704809619,0.4297916667
18.8,0.5704809619,0.4278888889
18.84,0.5704809619,0.426
18.87,0.5698096192,0.4234722222
18.9,0.5691482966,0.4215694444
18.94,0.5684869739,0.4196666667
18.97,0.5678156313,0.4171388889
19,0.5678156313,0.415875
19.04,0.5678156313,0.4133472222
19.07,0.5678156313,0.4108194444
19.1,0.5678156313,0.4089166667
19.14,0.5684869739,0.405125
19.17,0.5691482966,0.4013333333
19.2,0.5691482966,0.3987916667
19.24,0.5691482966,0.3975277778
19.27,0.5691482966,0.3969027778
19.3,0.5691482966,0.3962638889
19.34,0.5691482966,0.395
19.37,0.5691482966,0.3937361111
19.4,0.5691482966,0.3918472222
19.44,0.5691482966,0.3899444444
19.47,0.5691482966,0.3893055556
19.5,0.5691482966,0.3886805556
19.64,0.5704809619,0.3886805556
19.67,0.5704809619,0.3893055556
19.7,0.5718036072,0.3899444444
19.74,0.5724749499,0.3905694444
19.77,0.5738076152,0.3918472222
19.8,0.5744689379,0.3931111111
19.84,0.5758016032,0.395
19.87,0.5777955912,0.3975277778
19.9,0.5784569138,0.3994305556
19.94,0.5791182365,0.4013333333
19.97,0.5804509018,0.4019583333
20,0.5811122244,0.4038611111
20.04,0.5817835671,0.4044861111
20.07,0.5831162325,0.40575
20.1,0.5837775551,0.40575
20.14,0.5851102204,0.4070277778
20.17,0.5864328657,0.4076527778
20.2,0.5877655311,0.4082916667
20.24,0.5890981964,0.4082916667
20.27,0.591753507,0.4101805556
20.3,0.5944188377,0.4114444444
20.34,0.595741483,0.4120833333
20.37,0.5970741483,0.4133472222
20.4,0.5984068136,0.4146111111
20.44,0.5990681363,0.415875
20.47,0.6004008016,0.4165138889
20.5,0.6010621242,0.4177777778
20.54,0.6017334669,0.4184027778
20.6,0.6023947896,0.4184027778
20.64,0.6037274549,0.4196666667
20.67,0.6037274549,0.4203055556
20.7,0.6050501002,0.4209305556
20.77,0.6050501002,0.4215694444
20.8,0.6050501002,0.4221944444
20.87,0.6050501002,0.4234722222
20.91,0.6057214429,0.4240972222
21.3,0.6063827655,0.4240972222
21.34,0.6063827655,0.4247361111
21.4,0.6063827655,0.426
21.44,0.6063827655,0.4272638889
21.5,0.6063827655,0.4272638889
21.54,0.6050501002,0.426625
21.64,0.6043887776,0.426625
21.67,0.6037274549,0.426625
21.7,0.6037274549,0.4272638889
21.74,0.6030561122,0.4278888889
21.77,0.6023947896,0.4278888889
21.84,0.6017334669,0.4272638889
21.87,0.6010621242,0.4272638889
21.9,0.6004008016,0.426625
21.94,0.5990681363,0.426
21.97,0.5970741483,0.4253611111
22,0.5950801603,0.4234722222
22.04,0.5930861723,0.4221944444
22.07,0.591753507,0.4215694444
22.1,0.5904208417,0.4203055556
22.14,0.589759519,0.4190416667
22.3,0.5884268537,0.4184027778
22.34,0.5877655311,0.4177777778
22.47,0.5871042084,0.4177777778
22.5,0.5864328657,0.4177777778
23.24,0.5864328657,0.4171388889
23.5,0.5864328657,0.4171388889
23.84,0.5871042084,0.4171388889
24.14,0.5857715431,0.4177777778
24.17,0.5844388778,0.4177777778
24.2,0.5837775551,0.4184027778
24.24,0.5831162325,0.4190416667
24.27,0.5811122244,0.4196666667
24.3,0.5791182365,0.4209305556
24.34,0.5777955912,0.4215694444
24.37,0.5764629259,0.4221944444
24.4,0.5758016032,0.4221944444
24.47,0.5744689379,0.4221944444
24.5,0.5738076152,0.4221944444
24.54,0.5731362725,0.4221944444
24.6,0.5724749499,0.4215694444
24.64,0.5711422846,0.4215694444
24.67,0.5704809619,0.4215694444
24.7,0.5698096192,0.4209305556
24.9,0.5691482966,0.4209305556
24.94,0.5684869739,0.4209305556
25,0.5671543086,0.4215694444
25.2,0.5678156313,0.4215694444
25.24,0.5698096192,0.4215694444
25.27,0.5711422846,0.4209305556
25.3,0.5724749499,0.4209305556
25.34,0.5738076152,0.4203055556
25.37,0.5744689379,0.4203055556
25.4,0.5758016032,0.4196666667
25.44,0.5771242485,0.4196666667
25.47,0.5777955912,0.4190416667
25.5,0.5791182365,0.4190416667
25.54,0.5804509018,0.4190416667
25.57,0.5811122244,0.4190416667
25.6,0.5824448898,0.4190416667
25.64,0.5837775551,0.4190416667
25.67,0.5857715431,0.4184027778
25.7,0.5871042084,0.4184027778
25.74,0.5877655311,0.4177777778
25.77,0.5884268537,0.4177777778
25.8,0.5890981964,0.4177777778
25.87,0.589759519,0.4177777778
25.97,0.589759519,0.4171388889
26.04,0.5904208417,0.4171388889
26.07,0.5910921844,0.4165138889
26.17,0.591753507,0.415875
26.2,0.5924248497,0.415875
26.3,0.5924248497,0.41525
26.34,0.5924248497,0.4146111111
26.4,0.5930861723,0.4146111111
26.5,0.5930861723,0.4146111111
26.57,0.593747495,0.4133472222
26.6,0.5944188377,0.4133472222
26.64,0.5944188377,0.4127083333
27.2,0.5950801603,0.4127083333
27.27,0.595741483,0.4127083333
27.5,0.595741483,0.4120833333
27.64,0.5964128257,0.4120833333
27.67,0.5964128257,0.4114444444
27.74,0.5970741483,0.4114444444
27.77,0.5970741483,0.4108194444
27.8,0.5977354709,0.4108194444
28.5,0.5977354709,0.4108194444
29.5,0.5977354709,0.4108194444
30.07,0.5964128257,0.4127083333
30.1,0.595741483,0.4133472222
30.14,0.5950801603,0.4139722222
30.17,0.5944188377,0.4139722222
30.2,0.5944188377,0.41525
30.27,0.5944188377,0.415875
30.3,0.5944188377,0.4165138889
30.34,0.5944188377,0.4184027778
30.37,0.5944188377,0.4196666667
30.4,0.5944188377,0.4209305556
